Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
"Apples, Fuji, With Skin, Raw",0,1,1,0,65.0,0.2,0.2,0.0,6.0,1.0,104.0,15.7,2.1,0.0,0.0
"Apples, Gala, With Skin, Raw",0,1,1,0,61.0,0.2,0.1,0.1,7.0,0.0,106.0,14.8,2.1,0.0,0.0
"Apples, Granny Smith, With Skin, Raw",0,1,1,0,59.0,0.1,0.3,0.1,5.0,0.0,116.0,14.2,2.5,0.0,0.0
"Apples, Honeycrisp, With Skin, Raw",0,1,1,0,60.0,0.1,0.1,0.0,4.0,0.0,98.0,14.7,1.7,0.0,0.0
"Apples, Red Delicious, With Skin, Raw",0,1,1,0,62.0,0.2,0.2,0.0,5.0,0.0,95.0,14.8,2.0,0.0,0.0
"Bananas, Overripe, Raw",0,1,1,0,85.0,0.2,0.7,0.0,0.0,0.0,0.0,20.1,1.7,0.0,0.0
"Bananas, Ripe And Slightly Ripe, Raw",0,1,1,0,97.0,0.3,0.7,0.0,5.0,0.0,326.0,23.0,1.7,0.0,0.0
"Beans, Snap, Green, Canned, Regular Pack, Drained Solids",0,1,1,0,21.0,0.4,1.0,0.8,36.0,282.0,97.0,4.1,0.0,0.0,0.0
"Broccoli, Raw",0,1,1,0,32.0,0.3,2.6,0.7,46.0,36.0,303.0,6.3,2.4,0.0,0.0
"Carrots, Frozen, Unprepared",0,1,1,0,37.0,0.5,0.8,0.4,33.0,66.0,210.0,7.9,3.2,0.0,0.0
"Carrots, Frozen, Unprepared (Includes Foods For Usda'S Food Distribution Program)",0,1,1,0,37.0,0.5,0.8,0.4,33.0,66.0,210.0,7.9,3.2,0.0,0.0
"Cheese, American, Restaurant",1,1,1,0,375.0,31.1,17.5,0.2,508.0,1600.0,173.0,6.4,0.0,0.0,0.0
"Cheese, Cheddar",1,1,1,0,408.0,34.0,23.3,0.2,707.0,654.0,77.0,2.4,0.0,0.0,0.0
"Cheese, Cottage, Lowfat, 2% Milkfat",1,1,1,0,84.0,2.3,11.0,0.1,103.0,321.0,120.0,4.3,0.0,0.0,0.0
"Cheese, Dry White, Queso Seco",1,1,1,0,326.0,24.3,24.5,0.2,661.0,1810.0,116.0,2.1,0.0,1.8,0.0
"Cheese, Mozzarella, Low Moisture, Part-Skim",1,1,1,0,298.0,20.4,23.7,0.2,693.0,699.0,116.0,4.4,0.0,0.0,0.0
"Cheese, Parmesan, Grated",1,1,1,0,421.0,28.0,29.6,0.4,884.0,1750.0,184.0,12.4,0.0,0.0,0.0
"Cheese, Pasteurized Process, American, Vitamin D Fortified",1,1,1,0,366.0,30.6,18.0,0.5,866.0,1660.0,149.0,5.3,0.0,7.5,0.0
"Cheese, Ricotta, Whole Milk",1,1,1,0,157.0,11.0,7.8,0.1,224.0,105.0,230.0,6.9,0.0,0.0,0.0
"Cheese, Swiss",1,1,1,0,393.0,31.0,27.0,0.1,890.0,185.0,71.0,1.4,0.0,0.0,0.0
"Chicken, Broiler Or Fryers, Breast, Skinless, Boneless, Meat Only, Cooked, Braised",0,1,1,1,166.0,3.2,32.1,0.5,6.0,47.0,343.0,0.0,0.0,0.0,0.0
"Chicken, Broilers Or Fryers, Drumstick, Meat Only, Cooked, Braised",0,1,1,1,156.0,6.0,23.9,0.9,12.0,117.0,239.0,0.0,0.0,0.1,0.0
"Egg, White, Dried",1,1,1,0,376.0,0.6,79.9,0.0,104.0,1250.0,959.0,6.0,0.0,0.0,0.0
"Egg, White, Raw, Frozen, Pasteurized",1,1,1,0,48.0,0.2,10.1,0.2,9.0,144.0,130.0,0.7,0.0,0.0,0.0
"Egg, Whole, Dried",1,1,1,0,575.0,39.8,48.1,7.0,220.0,485.0,468.0,1.9,0.0,9.7,0.0
"Egg, Whole, Raw, Frozen, Pasteurized",1,1,1,0,150.0,10.3,12.3,1.8,55.0,121.0,117.0,0.9,0.0,2.3,0.0
"Egg, Yolk, Dried",1,1,1,0,654.0,55.5,34.2,9.3,270.0,149.0,231.0,1.1,0.0,15.7,0.0
"Egg, Yolk, Raw, Frozen, Pasteurized",1,1,1,0,296.0,25.1,15.6,4.1,119.0,66.0,102.0,0.6,0.0,5.8,0.0
"Eggs, Grade A, Large, Egg White",1,1,1,0,55.0,0.0,10.7,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0
"Eggs, Grade A, Large, Egg Whole",1,1,1,0,148.0,10.0,12.4,1.7,48.0,129.0,132.0,1.0,0.0,2.5,0.0
"Eggs, Grade A, Large, Egg Yolk",1,1,1,0,334.0,28.8,16.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Figs, Dried, Uncooked",0,1,1,0,249.0,0.9,3.3,2.0,162.0,10.0,680.0,63.9,9.8,0.0,0.0
"Fish, Haddock, Raw",0,1,1,1,74.0,0.4,16.3,0.2,11.0,213.0,286.0,0.0,0.0,0.5,0.0
"Fish, Pollock, Raw",0,1,1,1,56.0,0.4,12.3,0.2,15.0,333.0,160.0,0.0,0.0,0.2,0.0
"Fish, Tuna, Light, Canned In Water, Drained Solids",0,1,1,1,90.0,0.9,19.0,1.7,18.0,219.0,176.0,0.1,0.0,1.2,0.0
"Flour, Bread, White, Enriched, Unbleached",1,1,1,0,363.0,1.6,14.3,5.6,19.0,3.0,127.0,72.8,0.0,0.0,0.0
"Flour, Corn, Yellow, Fine Meal, Enriched",1,1,1,0,364.0,1.7,6.2,4.4,0.0,0.0,144.0,80.8,4.3,0.0,0.0
"Flour, Pastry, Unenriched, Unbleached",1,1,1,0,358.0,1.6,8.8,0.9,17.0,1.0,142.0,77.2,0.0,0.0,0.0
"Flour, Rice, Brown",1,1,1,0,365.2,3.8,7.2,1.5,10.0,1.0,265.0,75.5,0.0,0.0,0.0
"Flour, Rice, Glutinous",1,1,1,0,358.0,1.2,6.7,0.3,10.0,6.0,80.0,80.1,0.0,0.0,0.0
"Flour, Rice, White, Unenriched",1,1,1,0,359.0,1.3,6.9,0.2,6.0,5.0,75.0,79.8,0.5,0.0,0.0
"Flour, Soy, Defatted",0,1,1,0,366.0,3.3,51.1,7.3,338.0,2.0,2480.0,32.9,0.0,0.0,0.0
"Flour, Soy, Full-Fat",0,1,1,0,452.0,20.7,38.6,9.5,258.0,2.0,1860.0,27.9,0.0,0.0,0.0
"Flour, Wheat, All-Purpose, Enriched, Bleached",1,1,1,0,366.0,1.5,10.9,5.6,19.0,2.0,136.0,77.3,0.0,0.0,0.0
"Flour, Wheat, All-Purpose, Enriched, Unbleached",1,1,1,0,358.0,1.5,13.1,5.4,21.0,4.0,135.0,73.2,0.0,0.0,0.0
"Flour, Wheat, All-Purpose, Unenriched, Unbleached",1,1,1,0,362.0,1.7,12.0,1.2,22.0,2.0,150.0,74.6,3.0,0.0,0.0
"Flour, Whole Wheat, Unenriched",1,1,1,0,370.0,2.7,15.1,3.9,38.0,3.0,376.0,71.2,10.6,0.0,0.0
"Garlic, Raw",0,1,1,0,143.0,0.4,6.6,0.0,0.0,0.0,0.0,28.2,2.7,0.0,0.0
"Grapefruit Juice, White, Canned Or Bottled, Unsweetened",0,1,1,0,37.0,0.7,0.6,0.1,16.0,1.0,141.0,7.6,0.2,0.0,0.0
"Hummus, Commercial",0,1,1,0,229.0,17.1,7.4,2.4,41.0,438.0,289.0,14.9,5.4,0.0,0.0
"Kale, Frozen, Cooked, Boiled, Drained, Without Salt",0,1,1,0,36.0,1.2,2.9,0.8,150.0,16.0,144.0,5.3,0.0,0.0,0.0
"Kale, Raw",0,1,1,0,35.0,1.5,2.9,1.6,254.0,53.0,348.0,4.4,4.1,0.0,0.0
"Ketchup, Restaurant",0,1,1,0,117.0,0.6,1.1,0.4,14.0,949.0,249.0,26.8,0.0,0.0,0.0
"Kiwifruit, Green, Raw",0,1,1,0,58.0,0.4,1.1,0.2,35.0,5.0,198.0,14.0,3.0,0.0,0.0
"Lettuce, Cos Or Romaine, Raw",0,1,1,0,17.0,0.3,1.2,1.0,35.0,0.0,253.0,3.2,1.8,0.0,0.0
"Melons, Cantaloupe, Raw",0,1,1,0,34.0,0.2,0.8,0.4,9.0,30.0,157.0,8.2,0.8,0.0,0.0
"Milk, Lowfat, Fluid, 1% Milkfat, With Added Vitamin A And Vitamin D",1,1,1,0,43.0,1.0,3.4,0.0,126.0,39.0,159.0,5.2,0.0,1.1,0.0
"Milk, Nonfat, Fluid, With Added Vitamin A And Vitamin D (Fat Free Or Skim)",1,1,1,0,34.0,0.1,3.4,0.0,132.0,41.0,167.0,4.9,0.0,1.1,0.0
"Milk, Reduced Fat, Fluid, 2% Milkfat, With Added Vitamin A And Vitamin D",1,1,1,0,50.0,1.9,3.4,0.0,126.0,39.0,159.0,4.9,0.0,1.1,0.0
"Milk, Whole, 3.25% Milkfat, With Added Vitamin D",1,1,1,0,60.0,3.2,3.3,0.0,123.0,38.0,150.0,4.7,0.0,1.0,0.0
"Nectarines, Raw",0,1,1,0,39.0,0.3,1.1,0.3,2.0,13.0,131.0,9.2,1.5,0.0,0.0
"Nuts, Almonds, Dry Roasted, With Salt Added",0,1,1,0,620.0,57.8,20.4,3.2,273.0,256.0,684.0,16.2,11.0,0.0,0.0
"Olives, Green, Manzanilla, Stuffed With Pimiento",0,1,1,0,130.0,12.9,1.2,0.3,121.0,1620.0,43.0,5.0,4.0,0.0,0.0
"Onion Rings, Breaded, Par Fried, Frozen, Prepared, Heated In Oven",0,1,1,0,288.0,14.4,4.5,1.1,28.0,374.0,135.0,36.3,2.4,0.0,0.0
"Onions, Red, Raw",0,1,1,0,44.0,0.1,0.9,0.2,17.0,1.0,197.0,9.9,2.2,0.0,0.0
"Onions, White, Raw",0,1,1,0,35.0,0.1,0.9,0.2,21.0,2.0,141.0,7.7,1.2,0.0,0.0
"Onions, Yellow, Raw",0,1,1,0,38.0,0.0,0.8,0.3,15.0,1.0,182.0,8.6,1.9,0.0,0.0
"Oranges, Raw, Navels",0,1,1,0,47.0,0.2,0.9,0.3,43.0,9.0,166.0,11.8,2.0,0.0,0.0
"Oranges, Raw, Navels (Includes Foods For Usda'S Food Distribution Program)",0,1,1,0,47.0,0.2,0.9,0.3,43.0,9.0,166.0,11.8,2.0,0.0,0.0
"Peaches, Yellow, Raw",0,1,1,0,42.0,0.3,0.9,0.3,4.0,13.0,122.0,10.1,1.5,0.0,0.0
"Peanut Butter, Smooth Style, With Salt",0,1,1,0,597.0,51.1,22.5,1.7,49.0,429.0,564.0,22.3,4.8,0.0,0.0
"Pears, Raw, Bartlett",0,1,1,0,57.0,0.2,0.4,0.2,8.0,7.0,87.0,15.1,3.1,0.0,0.0
"Pears, Raw, Bartlett (Includes Foods For Usda'S Food Distribution Program)",0,1,1,0,57.0,0.2,0.4,0.2,8.0,7.0,87.0,15.1,3.1,0.0,0.0
"Pickles, Cucumber, Dill Or Kosher Dill",0,1,1,0,12.0,0.4,0.5,0.2,54.0,808.0,112.0,2.0,1.0,0.0,0.0
"Seeds, Sunflower Seed Kernels, Dry Roasted, With Salt Added",0,1,1,0,612.0,56.1,21.0,5.2,78.0,532.0,689.0,17.1,10.3,0.0,0.0
"Strawberries, Raw",0,1,1,0,31.0,0.2,0.6,0.3,12.0,10.0,89.0,7.6,1.8,0.0,0.0
"Tomatoes, Canned, Red, Ripe, Diced",0,1,1,0,18.0,0.5,0.8,0.6,30.0,125.0,198.0,3.3,0.0,0.0,0.0
"Tomatoes, Grape, Raw",0,1,1,0,27.0,0.6,0.8,0.3,11.0,6.0,260.0,5.5,2.1,0.0,0.0
"Turkey, Ground, 93% Lean, 7% Fat, Pan-Broiled Crumbles",0,1,1,1,220.0,11.6,27.1,1.6,31.0,90.0,304.0,0.0,0.0,0.0,0.0
"Yogurt, Greek, Plain, Nonfat",1,1,1,0,61.0,0.4,10.3,0.1,111.0,36.0,141.0,3.6,0.0,0.0,0.0
"Yogurt, Greek, Strawberry, Nonfat",1,1,1,0,83.0,0.2,8.1,0.1,97.0,32.0,133.0,12.2,0.6,1.0,0.0
